Classifier,Feature_Combination,N_Features,Accuracy_Mean,Accuracy_SD,Precision_Mean,Precision_SD,Sensitivity_Mean,Sensitivity_SD,F1_Mean,F1_SD,N_Replicates
Logistic Regression,Insert + Positions,11,0.6863636363636364,0.06571287406727709,0.7393699356199357,0.07028897991443944,0.6666666666666667,0.120761472884912,0.693629644864939,0.08312516305885344,20
Random Forest,Insert + Positions,11,0.6681818181818183,0.06115283657760776,0.7228360528360528,0.08080591657044443,0.6541666666666667,0.08848650242331377,0.6814251416860113,0.05931289312124559,20
