sample_id,start_AAAA,start_TTTT,start_AAAT,start_ATTT,start_TAAA,start_AATA,start_ATAA,start_AATT,start_TTTA,start_TATT,start_ATAT,start_TTAT,start_TTAA,start_TATA,start_ATTA,start_TAAT,start_GTTT,start_AAAC,start_CAAA,start_GAAA,end_TTTT,end_AAAA,end_TTTA,end_TAAA,end_ATTT,end_AAAT,end_TATT,end_AATA,end_TTAT,end_ATAA,end_TTAA,end_ATAT,end_TATA,end_AATT,end_TAAT,end_ATTA,end_GTTT,end_AAAC,end_CAAA,end_TTTG
SRR13404367,0.05173456569948669,0.034970457329838875,0.028860319774204054,0.02834855698401129,0.028472620690724686,0.026658188980041252,0.02538653598622893,0.024409534295860926,0.021990292014949675,0.02206783183164555,0.021850720344897104,0.019167842687219886,0.01936944621062916,0.01884217545709722,0.01668656855295194,0.017260363196501403,0.012220275111269637,0.01366251570181288,0.010933114154118139,0.010080176170463534,0.049470403051967184,0.051207294945954746,0.029635717941162786,0.02782128623047935,0.02820898531395872,0.027573158817052558,0.02354108834886714,0.02395980335902486,0.023215421118744476,0.022982801668656856,0.02031543197431881,0.020749654947815704,0.020517035497728084,0.020284416047640464,0.0186715878603663,0.017136299489788006,0.012514926414713955,0.012235783074608812,0.011010653970814013,0.011475892870989253
SRR13404368,0.04947210120773321,0.04592176865474954,0.026728267778794126,0.026278662346320213,0.025487976930590222,0.024898838777693368,0.023022898869784966,0.02035627354614657,0.024635276972450038,0.022728329793336537,0.020681849893800095,0.020588828080184803,0.019410551774391094,0.01947256631680129,0.01765864095130308,0.01612378102665075,0.013271112075781771,0.013255608440179222,0.010340924946900048,0.009643261344785352,0.05078991023394986,0.04745662857940187,0.027363916838498627,0.028914280398753506,0.027736004092959798,0.026077115083487076,0.023798080649912404,0.024712795150462784,0.024170167904373575,0.023674051565092013,0.02066634625819755,0.02164307530115812,0.020511309902172058,0.020046200834095595,0.017348568239252106,0.017317560968047006,0.012340893939628842,0.012542441202461977,0.011689741244321794,0.010402939489310243
SRR13404369,0.04741022799981273,0.047862794363207915,0.027153981803711043,0.02593673434354469,0.024048440206619955,0.024298131993320746,0.02328375910984878,0.019101421682610528,0.024906755723403923,0.02250347227640881,0.019788074096037705,0.02072441829616567,0.01760327096240578,0.01760327096240578,0.017275550492360993,0.015730582562149847,0.013467750745173927,0.012921549961765946,0.010284180464738838,0.009816008364674854,0.04940776229341906,0.04854944677663509,0.027965480110488616,0.02779381700713182,0.026014763026888685,0.027637759640443828,0.024235709046645546,0.023642691053231166,0.022909221429797594,0.0227063468531032,0.02047472650946488,0.020505937982802477,0.019382324942648917,0.0199129199893881,0.016292389082226626,0.01591785140217544,0.013124424538460338,0.012983972908441143,0.011517033661573995,0.011548245134911593
SRR13404370,0.05143944116753785,0.03997826052206717,0.027110407775060342,0.026151313160376603,0.026678815198452662,0.02544797710960853,0.02344986332901741,0.02169152320209722,0.024488882494924792,0.022746527278249332,0.020492654933742548,0.020412730382518902,0.01902204319122748,0.017855144743362267,0.016272638629134098,0.015873015873015872,0.014386419220256078,0.014322479579277162,0.011253376812289198,0.009734810339039947,0.05286209817931872,0.0517431544621877,0.02933231029907767,0.026471011365271184,0.02760593999264694,0.02762192490289167,0.023465848239262135,0.02375357662366726,0.023321984047059575,0.02157962883038412,0.021243945715244808,0.020252881280071612,0.0190859828322064,0.019549545229303536,0.017711280551159704,0.016464457552070846,0.014114675746095685,0.012468229990888601,0.01106155788935245,0.011652999568407424
SRR13404371,0.055102364704015236,0.0380891921917156,0.030883986668782733,0.028947786065703855,0.028598635137279796,0.026598952547214727,0.023694651642596414,0.023567687668624028,0.022504364386605302,0.022678939850817332,0.0203618473258213,0.019663545468973177,0.020139660371369623,0.019282653547056022,0.01731471195048405,0.017362323440723696,0.012140930011109347,0.01202983653388351,0.010744326297413108,0.010442786859228694,0.050928424059673065,0.05065862561498175,0.029836533883510555,0.02786859228693858,0.028947786065703855,0.027424218378035232,0.024805586414854783,0.024964291382320265,0.0238216156165688,0.022631328360577685,0.02156800507855896,0.021028408189176322,0.021504523091572768,0.02145691160133312,0.01782256784637359,0.016981431518806538,0.012156800507855895,0.012426598952547215,0.01004602444056499,0.010236470401523567
SRR13404372,0.04763023893458676,0.04554641598119859,0.027935761848805328,0.026462984723854287,0.027606737171954564,0.025914610262436348,0.02265569917743831,0.0209165687426557,0.02535056795926361,0.023595769682726205,0.019600470035252643,0.02154328241284763,0.019240109674892283,0.019647473560517038,0.01798668233450842,0.0172816294555425,0.012690951821386603,0.012299255777516647,0.010058754406580493,0.009667058362710536,0.050246768507638075,0.05012142577359969,0.028531139835487662,0.027982765374069723,0.028170779475127302,0.02748139443791618,0.02372111241676459,0.024426165295730513,0.024567175871523697,0.023251077164120643,0.020039169604386994,0.021950646298472386,0.01936545240893067,0.01981981981981982,0.017422640031335684,0.017924010967489228,0.013584018801410106,0.012502937720329024,0.011108499804151978,0.011045828437132785
SRR13404373,0.05269406820702692,0.03375982253050257,0.02874505944290825,0.026182999796909905,0.028651325553420506,0.026729780818921748,0.024339566636984267,0.022605489681460998,0.021246348283888706,0.0222149318085954,0.021090125134742465,0.01855931011857337,0.01840308696942713,0.018809267157207356,0.017372014185061943,0.017106434831513334,0.01388823795910078,0.013185233787942697,0.010279483213822624,0.011029354329724579,0.0496320944837606,0.051350549124369246,0.029354329724578587,0.027901454437518552,0.0270890940619581,0.02722969489618972,0.025058193123056974,0.024167721172923404,0.02373029635531393,0.02307415912889972,0.02087141272593773,0.0201371639249504,0.020480854853072127,0.020355876333755137,0.017184546406086455,0.017309524925403445,0.013372701566918187,0.01281029822999172,0.010888753495492962,0.011013732014809955
SRR13404374,0.052822761313448124,0.035604557383345066,0.029843820008961148,0.025523266978173205,0.026899443128720477,0.025971324329514177,0.025075209626832233,0.02446713179286949,0.02273891058055431,0.022450873711835115,0.020210586955130255,0.02104269346476349,0.01881840875632081,0.0186103821289125,0.01685015682007297,0.017730269474492737,0.013345708250656084,0.012977661140626,0.010545349804775011,0.009217179799014274,0.05258273058951546,0.05125456058375472,0.028947705306279204,0.027171477949177496,0.027891570120975484,0.028851693016706138,0.024723164565064328,0.024739166613326504,0.02246687576009729,0.023555015041925368,0.020402611534276388,0.019970556231197593,0.02033860334122768,0.020962683223452603,0.017458234654035718,0.018530371887601614,0.013057671381936888,0.013281700057607374,0.01067336619087243,0.010977405107853805
SRR13404375,0.04247074203187251,0.04340450697211155,0.026970244023904383,0.026083167330677292,0.026363296812749005,0.022923929282868526,0.02247260956175299,0.021040836653386453,0.02642554780876494,0.023919945219123506,0.02052726593625498,0.02174116035856574,0.019406748007968128,0.019749128486055777,0.017461404382470118,0.018052788844621515,0.01187437749003984,0.01030253984063745,0.008715139442231075,0.00972671812749004,0.048571339641434265,0.04684387450199203,0.027950697211155378,0.0277328187250996,0.02768613047808765,0.027670567729083665,0.023873256972111553,0.024869272908366533,0.024993774900398405,0.023001743027888447,0.021881225099601595,0.02293949203187251,0.021569970119521914,0.022488172310756973,0.018286230079681276,0.017663720119521914,0.011578685258964144,0.01114292828685259,0.010084661354581673,0.01022472609561753
SRR13404376,0.050579458546427064,0.03661302178639015,0.02757315566399224,0.02782339417257073,0.027135238273979886,0.02511769029856582,0.023522419806377953,0.023835217942101066,0.022177387822768575,0.021848949780259308,0.01925272525375749,0.01897120693160669,0.01836125056694662,0.018564569355166642,0.017047498396909555,0.01681289979511722,0.012496285522138289,0.012214767199987488,0.009931340809208777,0.010556937080654999,0.04899982796102535,0.049124947215314595,0.028699228952595444,0.02838643081687233,0.02669732088396753,0.02796415333364613,0.023803938128528754,0.02385085784888722,0.023663178967453354,0.023193981763868686,0.021192073695240777,0.019721922457342153,0.020832355839159197,0.020238039381285287,0.01742285615977729,0.01734465662584651,0.012292966733918265,0.01284036347143371,0.010463097639938065,0.010431817826365755
